"id_survey","date_of_survey","ticket_system","overall_rating","customer_service","features","value_for_money","ease_of_use","likelihood_to_recommend","overall_text"
"T_00227",2024-10-06,"Zendesk",3,2,2,2,3,4,"we use zendesk daily for our ticketing needs, but are moving off the platform due to the incomplete and terrible reporting, UI issues and death by a thousand cuts due to nickle and diming people for access"
"T_01398",2024-11-06,"Zoho Desk",,,,,,,
"T_00467",2024-10-12,"Freshdesk",5,3,5,5,5,9,"I can not but praise this application is fantastic."
"T_00780",2024-10-20,"Jira Service Management",5,3,5,5,5,9,"Pros:It helps us to organise and better understand the current progress."
"T_04052",2024-12-19,"Freshdesk",,,,,,,
"T_04332",2024-12-23,"Zoho Desk",,,,,,,
"T_03573",2024-12-12,"Zendesk",,,,,,,
"T_03978",2024-12-18,"Zendesk",5,4,5,5,5,10,"Very satisfied, it works well to allow teams to come together and solve tickets."
"T_00901",2024-10-24,"Zoho Desk",5,4,5,5,4,9,"Pros:We were looking for a new ticket management software.We used an internal solution.We have selected Zoho Desk.With the power of creating these forms, the powerful management of statistics and is clearly superior to the competitor."
"T_02767",2024-12-02,"Zendesk",4,3,3,3,4,7,"My overall experience with Zendesk is positive. Charging on a per agent per month basis is pretty good as our workforce fluctuates."
"T_02929",2024-12-04,"Zendesk",,,,,,,
"T_01342",2024-11-04,"Zendesk",,,,,,,
"T_04200",2024-12-21,"Zendesk",5,2,5,3,5,9,"Zendesk chats allow us to address customer queries while on the website, which allow us to help customer to finalize a purchase that otherwise would be lost. It is also useful to rise customer satisfaction as customers do not have to wait on the telephone or write emails to receive an answer."
"T_04267",2024-12-22,"Freshdesk",,,,,,,
"T_01276",2024-11-03,"Zoho Desk",,,,,,,
"T_01920",2024-11-16,"Zoho Desk",5,3,4,4,5,7,"Super intuitive to pick up and use from the get go. It was extremely easy to set up the entire team and inform them on how to utilize the basic features of Zoho Help Desk."
"T_00004",2024-10-01,"Zoho Desk",5,4,5,5,5,9,"Help me a lot for my helpdesk department."
"T_04302",2024-12-23,"Zoho Desk",,,,,,,
"T_00211",2024-10-06,"Zoho Desk",4,4,4,4,5,7,"Pros:The response time from the support team is always prompt and they resolve your questions first time.The use of custom fields in tickets allows you to adapt the product to suit your needs.The Zoho Desk App allows you to be fully mobile and works without time delay or lag."
"T_00869",2024-10-23,"Zoho Desk",,,,,,,
"T_04222",2024-12-21,"Zendesk",5,5,5,5,5,10,"Allows us to quickly receive and manage Customer Contact information and supportrequests."
"T_04202",2024-12-21,"Zendesk",5,5,5,5,5,9,"Since the product acquisition, the support team helped us in every step of the integration. Our last update was to set up a middleware app to route Whatsapp, Facebook and Twitter request and turn them into tickets."
"T_04725",2024-12-28,"Zendesk",5,3,3,2,3,2,"Pros:It would be hard to find another ticketing system that is as robust as Zendesk. It can pretty much do anything that any other system can do."
"T_04291",2024-12-22,"Jira Service Management",,,,,,,
"T_02972",2024-12-05,"Zoho Desk",5,2,5,5,5,7,"Pros:This is by far the most user friendly help-desk software, big ups the developers and front end guys!"
"T_03936",2024-12-17,"Jira Service Management",5,2,5,2,4,5,"Pros:We use this tool to track the task, issues for the project. Its great for BA, Scrum master , Project mangers to track the items and project status. Notifications are very well maintained."
"T_03738",2024-12-15,"Zoho Desk",3,2,2,2,2,2,"Ease of access to info."
"T_04616",2024-12-27,"Freshdesk",5,4,5,5,5,9,"I'm a big fan and I wish we would have started using it to manage client/customer requests sooner. It's one of those tools in your workflow that works for you rather and against you because it's been reliable and ever since it's been configured, I haven't had any issues since. I've recommended it to several other people in my network that have expressed similar difficulties to those I was experiencing prior to leveraging Freshdesk."
"T_01843",2024-11-14,"Zendesk",,,,,,,
"T_03003",2024-12-05,"Zendesk",,,,,,,
"T_00932",2024-10-25,"Zoho Desk",4,3,5,4,4,6,"Overall, it is a good starter product and is helpful but a lot of tweaking is needed and the product offering is geared to pull you towards needing the Pro package. One day I may choose that but wish I could have a vanity URL for email now with a one time fee."
"T_01378",2024-11-05,"Zendesk",,,,,,,
"T_02047",2024-11-18,"Freshdesk",,,,,,,
"T_04809",2024-12-29,"Jira Service Management",5,3,5,5,4,8,"Pros:Extensive flexibility.Granular permissions.Integration with other Atlassian products.Ease of use from the customer perspective."
"T_04059",2024-12-19,"Zendesk",,,,,,,
"T_00972",2024-10-26,"Zoho Desk",5,5,5,5,5,8,"Pros:It has features like filter, mark them open, hold or closed, it gives notification to the other party as well when it is closed or someone has replied."
"T_02959",2024-12-05,"Zoho Desk",5,3,5,5,5,8,"Pros:You can manage all the queries of customers and it has the ticket system which becomes easier for us and for our customer to keep the record of their queries."
"T_03352",2024-12-10,"Zoho Desk",4,4,4,3,4,6,"It was good and used it for almost 6 months and then we made our own internal ticket system."
"T_04608",2024-12-27,"Zoho Desk",5,3,5,5,5,8,"Pros:Software is easy to use, and the interface makes responding to tickets so fast"
"T_03349",2024-12-10,"Zoho Desk",4,3,3,3,5,4,"Organization"
"T_01187",2024-11-01,"Freshdesk",5,3,4,5,5,9,"I always recommend FreshDesk to start-ups and smaller clients. They are easy to set-up and you get all the necessary features to look professional without spending tons of money."
"T_01480",2024-11-07,"Zendesk",,,,,,,
"T_03768",2024-12-15,"Zendesk",,,,,,,
"T_02323",2024-11-24,"Zoho Desk",,,,,,,
"T_04025",2024-12-19,"Zoho Desk",3,-1,3,3,5,5,"There is def. a lot we could use. We are still trying it out and determining what will work best for us.Obviously we are looking for ease of use and collaboration between all our tools."
"T_01974",2024-11-16,"otrs",5,3,5,5,5,9,"Pros:We have implemented OTRS in our Corporate environment and it is our primary ticketing tool. The ability to track incidents, change requests and Problem tickets is the best feature of OTRS.The reports that can be generated via OTRS is also a great benefit."
"T_00546",2024-10-14,"Jira Service Management",,,,,,,
"T_04799",2024-12-29,"Zendesk",,,,,,,
"T_01248",2024-11-02,"Zendesk",4,4,4,4,3,8,"Its been a very useful tool mostly because of the storage of the emails, in the support branch keeping track of every email and have it for future reference is a must. It has simplified the communication between customer and support. Every ticket shows the person who replied which is a plus since this way the customer won't receive different replies from different people."
"T_00828",2024-10-22,"Zoho Desk",4,3,4,4,5,6,"The Zoho Desk's ease of use is what I appreciate most about it. Even for non-technical users, the platform's overall user interface is welcoming, and it makes it simple for people to get started."
"T_01316",2024-11-04,"Zoho Desk",4,3,4,5,4,6,"The ability to communicate with variouscategories of people- customers, suppliers and more"
"T_01300",2024-11-03,"Jira Service Management",,,,,,,
"T_01883",2024-11-15,"Freshdesk",4,3,4,3,5,7,"Fantastic. Totally changed the way we deliver support, made it much easier to track everything, and gives us some decent reporting too. So much better than email or JIRA service Desk (what we were using before). A few things mentioned in the 'Cons' but hey, overall great. Every time we had an issue or question it was handled quickly by your support team. Keep up the good work!"
"T_04335",2024-12-23,"Freshdesk",5,3,4,5,5,7,"It's been great.The team works well with the software and we can integrate where we want to with other software we use."
"T_02630",2024-11-30,"Freshdesk",,,,,,,
"T_03633",2024-12-13,"Zendesk",5,5,4,5,5,7,"Zendesk, effectively helps in solving any problem of our customers, allowing us to create automatic responses of different forms of communication. In addition to making work more efficient, it allows you to monitor the performance of the team and in the company's decision making."
"T_04331",2024-12-23,"Zoho Desk",5,3,4,4,4,7,"Organizing work flow"
"T_01958",2024-11-16,"ServiceNow",5,4,4,5,5,9,"Pros:I really liked its integration with other systems and applications. Dashboards and reports really gives good insights."
"T_02102",2024-11-19,"Zoho Desk",,,,,,,
"T_03574",2024-12-12,"ServiceNow",,,,,,,
"T_01922",2024-11-16,"Zoho Desk",4,4,3,5,4,6,"Overall Zoho Desk has been a great fit for us, we also use zoho books and zoho subscriptions.It fits nicely into our suite of products that we are using."
"T_03821",2024-12-16,"Zoho Desk",,,,,,,
"T_01774",2024-11-13,"Zoho Desk",5,2,4,3,5,8,"We havent integrated it yet, still trying to see if it fits our needs."
"T_02677",2024-12-01,"Freshdesk",5,3,5,5,5,9,"My overall experience with Freshdesk has been nothing short of exceptional."
"T_02922",2024-12-04,"Zendesk",1,0,2,1,1,1,"I would never, under any circumstances, ever switch back to Zendesk. I would not use this software at any cost."
"T_01103",2024-10-29,"Zoho Desk",,,,,,,
"T_04342",2024-12-23,"Freshdesk",,,,,,,
"T_01194",2024-11-01,"Zendesk",5,4,4,4,5,9,"We have moved our complaints and daily customer service workflows into the system to provide better visibility within the company (multi-site) and to streamline our processes in order to reduce time to respond to the customer, paper, and time spent accomplishing tasks."
"T_04687",2024-12-28,"Zoho Desk",5,4,5,5,5,9,"Pros:It is easy to use, a very friendly application.Excellent to keep track of all cases and existing emails within an organization.Meets expectations"
"T_01271",2024-11-03,"Zoho Desk",,,,,,,
"T_00814",2024-10-21,"Zendesk",,,,,,,
"T_04609",2024-12-27,"Zoho Desk",,,,,,,
"T_02663",2024-12-01,"Zoho Desk",,,,,,,
"T_03531",2024-12-12,"Freshdesk",4,5,4,5,5,10,"Pros:Overall Freshdesk has nailed the UI/UX design and basics of a support system.Most controls are intuitive and the setup is a breeze.I like that contacts are automatically created with each email sent to the mail listener.The API was easy to use (for extracting ticket detail to local reports).The SLA configuration is simple.The flexibility in email notifications and format for the various help desk communication scenarios is very well done. The software does a good job tracking threads and appending to work orders (without the annoying tag in the email subject line).I first used the software in 2016; they were missing parent/child tickets at that time; they've added it."
"T_00297",2024-10-08,"Zoho Desk",5,1,5,5,5,7,"The Experience is generally worth it."
"T_00198",2024-10-05,"ServiceNow",,,,,,,
"T_02530",2024-11-28,"Zendesk",,,,,,,
"T_02761",2024-12-02,"Zendesk",,,,,,,
"T_00820",2024-10-21,"ServiceNow",5,4,5,5,5,9,"We have used service now gor our ticketing based work environment where we are handling multiple types of tickets with the help of service now and working on them to fix the issues reported by customers."
"T_03177",2024-12-08,"Zoho Desk",4,4,5,4,5,8,"It has allowed us to handle the communication and follow-up of any technical issue with clients, replacing many times even email and WhatsApp. It is a great benefit for customers and for us too"
"T_02770",2024-12-02,"Zendesk",4,3,4,4,4,7,"Speeds up some processes for us which is great."
"T_00902",2024-10-24,"Zoho Desk",5,3,5,5,5,9,"Pros:Easy to UseIntegration with other Zoho AppsAdvanced ReportsEasily Customizable"
"T_01341",2024-11-04,"Zendesk",5,4,5,5,5,8,"Very satisficed."
"T_01317",2024-11-04,"Zoho Desk",5,3,5,4,5,7,"Pros:Ease to create and track tickets. It has helped a lot in tracking the issues and requirements. It is easy to generate a report with the filter option."
"T_04372",2024-12-23,"Jira Service Management",,,,,,,
"T_00107",2024-10-03,"Zendesk",,,,,,,
"T_04154",2024-12-20,"Jira Service Management",,,,,,,
"T_01670",2024-11-11,"Zoho Desk",5,3,5,5,5,9,"Wide functionalityEase of useUser friendly and intuitive interfaceAffordable price"
"T_00617",2024-10-17,"Zoho Desk",,,,,,,
"T_03140",2024-12-07,"Zendesk",5,3,4,5,5,7,"Zendesk made the task of communications with customers and solving their issues a breeze, if that's what you need to do, then I recommend them."
"T_01457",2024-11-07,"Zoho Desk",,,,,,,
"T_02312",2024-11-24,"Zoho Desk",5,4,5,5,4,9,"I can organize and meet the support requests of our users, this allows us to differentiate ourselves from the competition and helps us to retain customers."
"T_01130",2024-10-29,"Jira Service Management",,,,,,,
"T_01062",2024-10-28,"Zoho Desk",4,3,4,5,5,7,"managesupport claims ,"
"T_01585",2024-11-09,"Freshdesk",,,,,,,
"T_04129",2024-12-20,"Zendesk",5,3,5,5,5,8,"One of the of the best"
"T_03885",2024-12-17,"Zoho Desk",5,4,5,5,5,9,"Good and very use full , Goodmanagement softwareThey will be all things around you . all thing help to yours"
"T_03338",2024-12-10,"Zoho Desk",3,3,4,3,4,8,"It has given us the basic tool we need to have our customer support. It does make our job easier."
"T_03128",2024-12-07,"Freshdesk",,,,,,,
"T_00195",2024-10-05,"Zendesk",5,4,4,5,5,10,"Pros:We use Zendesk on a daily basis and it's great because it enables us to keep track of all our communication (live chat and ticket system) with our customers."
"T_01897",2024-11-15,"Zendesk",4,5,5,4,4,7,"Pros:Setting up automated workflows has really sped up how quickly we can respond to customer questions, making sure we don't keep them waiting too long for help."
